age,circumference,height
12,73,6.4
4,29,2.1
19,88,10.9
7,41,3.8
15,67,8.2
9,52,5.1
23,94,12.7
3,18,1.4
11,63,6.0
6,34,3.0
14,70,7.5
2,15,1.2
21,92,11.8
8,47,4.4
17,80,9.5
5,31,2.7
10,59,5.7
22,95,13.0
3,20,1.6
13,68,7.0
7,39,3.6
18,84,10.2
6,33,2.9
16,75,8.9
9,50,4.8
24,97,13.5
4,25,2.0
12,66,6.8
5,30,2.5
20,90,11.3
11,61,5.8
8,46,4.2
14,72,7.7
2,14,1.1
19,87,10.7
7,38,3.5
15,69,8.3
6,32,2.8
23,96,13.1
3,17,1.3
10,55,5.3
12,64,6.3
4,28,2.2
18,82,9.9
9,49,4.6
13,71,7.3
7,40,3.7
21,93,12.0
6,35,3.1
15,74,8.6
5,27,2.3
20,89,11.1
11,60,5.5
8,45,4.1
17,79,9.3
2,13,1.0
19,85,10.4
7,37,3.4
14,73,7.6
6,36,3.2
22,98,13.8
3,16,1.2
10,54,5.2
12,65,6.5
4,26,2.1
18,83,10.0
9,51,4.9
13,69,7.1
7,42,3.9
21,91,11.9
5,29,2.4
16,77,9.0
3,19,1.5
20,88,11.4
11,62,5.9
8,48,4.5
24,99,14.0
