# FORMAT:
# > CATEGORY
# Movie: Rating 	 Name (Year)
> FILM-NOIR
8.1	Touch of Evil (1958)
8.1	Strangers on a Train (1951)
8.2	Dial M for Murder (1954)
8.3	The Third Man (1949)
8.1	The Maltese Falcon (1941)
8.4	Double Indemnity (1944)
8.5	Sunset Blvd. (1950)
> DRAMA
8.5	Paths of Glory (1957)
8.2	The Gold Rush (1925)
8.3	The Passion of Joan of Arc (1928)
8.2	On the Waterfront (1954)
8.1	In the Name of the Father (1993)
8.3	To Kill a Mockingbird (1962)
8.2	The Elephant Man (1980)
8.1	Before Sunrise (1995)
8.1	La Haine (1995)
8.3	Full Metal Jacket (1987)
8.6	Léon: The Professional (1994)
8.2	The Nights of Cabiria (1957)
8.4	Citizen Kane (1941)
8.5	The Green Mile (1999)
8.6	La La Land (2016)
8.3	Unforgiven (1992)
8.3	Taxi Driver (1976)
8.6	Se7en (1995)
8.2	Rebecca (1940)
8.3	Manchester by the Sea (2016)
8.2	The Secret in Their Eyes (2009)
8.5	Like Stars on Earth (2007)
8.1	There Will Be Blood (2007)
8.3	The Treasure of the Sierra Madre (1948)
8.5	Whiplash (2014)
8.3	Rang De Basanti (2006)
8.1	Hotel Rwanda (2004)
8.6	City Lights (1931)
8.2	Heat (1995)
8.3	Tokyo Story (1953)
8.3	Sunrise (1927)
8.3	Eternal Sunshine of the Spotless Mind (2004)
8.5	The Departed (2006)
9	Dangal (2016)
8.3	A Clockwork Orange (1971)
8.7	Goodfellas (1990)
8.9	Pulp Fiction (1994)
8.4	Reservoir Dogs (1992)
8.2	Warrior (2011)
8.4	A Separation (2011)
8.2	Gran Torino (2008)
8.4	American Beauty (1999)
8.3	Downfall (2004)
8.1	Donnie Darko (2001)
8.2	Gone with the Wind (1939)
8.2	The Great Escape (1963)
8.4	Braveheart (1995)
8.2	Into the Wild (2007)
8.7	The Lord of the Rings: The Two Towers (2002)
8.1	Infernal Affairs (2002)
8.2	Incendies (2010)
8.3	The Hunt (2012)
8.3	Judgment at Nuremberg (1961)
8.4	Once Upon a Time in America (1984)
8.3	The Sting (1973)
8.6	The Silence of the Lambs (1991)
8	Dog Day Afternoon (1975)
8.1	The 400 Blows (1959)
8.2	Trainspotting (1996)
8.1	Platoon (1986)
8.3	L.A. Confidential (1997)
8.5	Cinema Paradiso (1988)
8.2	Wild Strawberries (1957)
9	The Godfather: Part II (1974)
8.5	The Great Dictator (1940)
8.1	Touch of Evil (1958)
8.3	Good Will Hunting (1997)
8.2	Mary and Max (2009)
8.1	Rush (2013)
8.2	Raging Bull (1980)
8.3	Ikiru (1952)
8.1	The Grand Budapest Hotel (2014)
8.9	Schindler's List (1993)
8.3	Rashomon (1950)
8.3	Yojimbo (1961)
8.7	One Flew Over the Cuckoo's Nest (1975)
8.6	My Father and My Son (2005)
8.1	8½ (1963)
8.8	The Lord of the Rings: The Fellowship of the Ring (2001)
8.1	Amores Perros (2000)
8.5	Apocalypse Now (1979)
8.8	Fight Club (1999)
8.3	The Message (1976)
8.9	The Lord of the Rings: The Return of the King (2003)
8.1	Fargo (1996)
8.2	The Seventh Seal (1957)
8.1	The Battle of Algiers (1966)
8.3	Gangs of Wasseypur (2012)
8.2	Ran (1985)
8.7	Seven Samurai (1954)
8.2	Room (2015)
8.3	Scarface (1983)
8.2	The Bridge on the River Kwai (1957)
8.1	The Grapes of Wrath (1940)
8.1	Gandhi (1982)
8.5	Gladiator (2000)
8	Jaws (1975)
8.4	Requiem for a Dream (2000)
8.1	Harry Potter and the Deathly Hallows: Part 2 (2011)
8.4	3 Idiots (2009)
8.3	Munna Bhai M.B.B.S. (2003)
8.3	Lawrence of Arabia (1962)
8.1	Persona (1966)
8.6	Life Is Beautiful (1997)
8.4	Oldboy (2003)
8.1	Memories of Murder (2003)
8.1	The Help (2011)
8.2	The Wages of Fear (1953)
8.3	Chak de! India (2007)
8.2	Casino (1995)
8.4	Hacksaw Ridge (2016)
8.4	Children of Heaven (1997)
8.1	Stand by Me (1986)
8.5	The Pianist (2002)
8.4	Das Boot (1981)
8.1	Barry Lyndon (1975)
8.3	Metropolis (1927)
8.2	V for Vendetta (2005)
8.6	The Intouchables (2011)
8.5	Grave of the Fireflies (1988)
8.1	Gone Girl (2014)
9.2	The Godfather (1972)
8.5	Drishyam (2015)
8.6	Casablanca (1942)
8.1	Butch Cassidy and the Sundance Kid (1969)
8.2	A Beautiful Mind (2001)
8.6	The Usual Suspects (1995)
